# timestamp tx ty tz qx qy qz qw
1305031229.528748 1.30181 0.673128 1.57072 0.683727 0.559864 -0.03292 -0.46689
1305031229.564425 1.30943 0.672949 1.58426 0.685289 0.57056 -0.0517644 -0.449623
1305031229.596600 1.3079 0.671367 1.57724 0.687321 0.575631 -0.0636035 -0.438398
1305031229.628753 1.29834 0.669431 1.59289 0.687422 0.586735 -0.0727163 -0.421788
1305031229.664657 1.29765 0.669735 1.58449 0.68727 0.589563 -0.081942 -0.416365
1305031229.696827 1.29517 0.668888 1.57017 0.687068 0.593021 -0.0973621 -0.408393
1305031229.729064 1.29783 0.672162 1.57339 0.686847 0.599407 -0.114119 -0.39488
1305031229.764848 1.29538 0.663808 1.57593 0.689065 0.601071 -0.126244 -0.384664
1305031229.796909 1.296 0.664291 1.56612 0.688838 0.60422 -0.145731 -0.373073
1305031229.825613 1.30114 0.677569 1.56849 0.688526 0.611177 -0.186104 -0.343161
1305031229.863055 1.30076 0.672805 1.57153 0.686484 0.616769 -0.203883 -0.326752
1305031229.896929 1.30073 0.676988 1.5675 0.683388 0.621782 -0.222876 -0.310958
1305031229.926248 1.30113 0.688198 1.56794 0.679333 0.62789 -0.240077 -0.294317
1305031229.966160 1.29898 0.688335 1.56745 0.676616 0.631795 -0.252106 -0.2819
1305031229.997917 1.29778 0.688201 1.5674 0.673244 0.635393 -0.263358 -0.271407
1305031230.029991 1.29889 0.684696 1.56861 0.670918 0.637526 -0.273937 -0.26151
1305031230.065687 1.29439 0.68247 1.56564 0.668758 0.639992 -0.283303 -0.250825
1305031230.098242 1.29628 0.67705 1.56921 0.66548 0.643638 -0.290646 -0.241645
1305031230.129919 1.2942 0.676062 1.56844 0.66228 0.646302 -0.30068 -0.230802
1305031230.165771 1.29423 0.674376 1.56564 0.657976 0.649137 -0.311332 -0.220817
1305031230.197772 1.29255 0.675428 1.56482 0.654029 0.651732 -0.322646 -0.208304
1305031230.229830 1.29287 0.663162 1.56733 0.650371 0.654997 -0.328688 -0.199902
1305031230.265580 1.29086 0.658935 1.56639 0.646861 0.656002 -0.339461 -0.189731
1305031230.297982 1.29295 0.654211 1.5645 0.642578 0.657211 -0.350975 -0.17884
1305031230.325685 1.29103 0.653456 1.56387 0.637933 0.6594 -0.36204 -0.164801
1305031230.365650 1.28007 0.641876 1.58221 0.63536 0.660448 -0.37917 -0.127892
1305031230.397265 1.28116 0.635947 1.5811 0.627329 0.662429 -0.395264 -0.106826
1305031230.425670 1.2771 0.633101 1.5831 0.620474 0.662717 -0.411001 -0.0830399
1305031230.465220 1.28307 0.626439 1.58323 0.610667 0.663802 -0.426968 -0.0644281
1305031230.497228 1.28018 0.624712 1.57986 0.599908 0.665188 -0.442624 -0.0414608
1305031230.526720 1.28175 0.622746 1.58222 0.589173 0.666463 -0.456335 -0.021463
1305031230.566084 1.28358 0.62149 1.57957 0.579359 0.667572 -0.46763 -0.00360509
1305031230.598825 1.2797 0.61518 1.57198 0.570214 0.66834 -0.477558 0.0107989
1305031230.626028 1.28104 0.614108 1.57757 0.563461 0.667434 -0.486128 0.0269022
1305031230.665795 1.27809 0.613096 1.57586 0.55491 0.666073 -0.496494 0.0437533
1305031230.697932 1.27557 0.60512 1.57291 0.544938 0.66483 -0.50767 0.0575736
1305031230.725671 1.27661 0.606824 1.58123 0.536978 0.660989 -0.518796 0.0748261
1305031230.765854 1.27481 0.598513 1.57423 0.513054 0.656077 -0.543361 0.105345
1305031230.797303 1.27932 0.591102 1.5738 0.502328 0.654505 -0.553127 0.115501
1305031230.825729 1.28986 0.579864 1.57393 0.491196 0.653064 -0.563046 0.123339
1305031230.865523 1.28935 0.574051 1.56505 0.489061 0.652589 -0.565322 0.123925
1305031230.897379 1.2889 0.574784 1.5619 0.488318 0.653019 -0.565946 0.121727
1305031230.925860 1.29188 0.575598 1.56741 0.489735 0.653983 -0.56397 0.120017
1305031230.964976 1.29037 0.572616 1.56343 0.490904 0.653553 -0.563548 0.119565
1305031230.997080 1.29506 0.572483 1.56092 0.492766 0.653314 -0.562851 0.116455
1305031231.025653 1.309 0.578639 1.5523 0.494127 0.655303 -0.561114 0.107554
1305031231.064422 1.3142 0.56412 1.54957 0.503309 0.656321 -0.554294 0.0931756
1305031231.096775 1.31587 0.583816 1.53101 0.525095 0.660734 -0.533594 0.054616
1305031231.125728 1.32872 0.587476 1.53228 0.539579 0.663461 -0.517549 0.0285769
1305031231.165241 1.31831 0.59123 1.52488 0.551429 0.666499 -0.501634 0.00829889
1305031231.197747 1.31155 0.599763 1.53186 0.563965 0.668369 -0.484891 -0.0103785
1305031231.225711 1.30289 0.619103 1.5395 0.57385 0.670594 -0.469497 -0.0239429
1305031231.265594 1.28615 0.624284 1.522 0.581527 0.671546 -0.457849 -0.0350323
1305031231.297846 1.27324 0.626293 1.50396 0.587145 0.672774 -0.44767 -0.0472002
1305031231.325741 1.27265 0.630819 1.50269 0.594523 0.673061 -0.435941 -0.0590566
1305031231.365066 1.27109 0.631691 1.49974 0.600497 0.673898 -0.424444 -0.0715045
1305031231.397128 1.27054 0.635245 1.49949 0.606958 0.674264 -0.412286 -0.0836112
1305031231.425688 1.27073 0.639723 1.50018 0.612757 0.673973 -0.401305 -0.0961432
1305031231.464918 1.26906 0.647508 1.50039 0.617925 0.673612 -0.390957 -0.107553
1305031231.493669 1.2705 0.646917 1.49605 0.623461 0.672565 -0.379471 -0.122291
1305031231.525755 1.26781 0.657291 1.49983 0.627687 0.673877 -0.366212 -0.133371
1305031231.565052 1.26226 0.69165 1.49675 0.630781 0.674525 -0.358125 -0.137395
1305031231.593737 1.26034 0.709718 1.49816 0.635841 0.674811 -0.343675 -0.149075
1305031231.625704 1.2575 0.716088 1.49358 0.639679 0.675018 -0.327471 -0.167106
1305031231.665045 1.25571 0.725896 1.49029 0.643016 0.674696 -0.309969 -0.18771
1305031231.693702 1.26236 0.722663 1.50721 0.64976 0.672852 -0.285117 -0.209262
1305031231.725886 1.26362 0.728317 1.51694 0.654931 0.670584 -0.266265 -0.224688
1305031231.765478 1.27331 0.723452 1.53234 0.658787 0.667543 -0.245743 -0.244942
1305031231.793723 1.27611 0.712709 1.54861 0.664426 0.663801 -0.224595 -0.259736
1305031231.825686 1.27646 0.725399 1.55751 0.667063 0.661363 -0.212671 -0.269064
1305031231.864940 1.27753 0.728738 1.5665 0.670236 0.657695 -0.196393 -0.282225
1305031231.893727 1.28093 0.719709 1.56143 0.672338 0.651609 -0.180369 -0.301388
1305031231.925706 1.27913 0.718969 1.56389 0.674935 0.646624 -0.166962 -0.313788
1305031231.965010 1.28245 0.718348 1.57273 0.675775 0.64344 -0.153931 -0.324989
1305031231.993726 1.28912 0.717235 1.5761 0.676973 0.63822 -0.141348 -0.338236
1305031232.025790 1.28652 0.714343 1.58434 0.678877 0.634141 -0.124508 -0.348553
1305031232.065122 1.28345 0.710679 1.59561 0.679301 0.630792 -0.1068 -0.359507
1305031232.093725 1.27982 0.6946 1.59524 0.680455 0.623845 -0.084993 -0.374933
1305031232.125662 1.27339 0.684063 1.59163 0.679934 0.618379 -0.0673162 -0.388285
1305031232.165032 1.27416 0.670174 1.58614 0.678316 0.612547 -0.051961 -0.40246
1305031232.193716 1.26854 0.656189 1.58418 0.67983 0.606073 -0.0378449 -0.411186
1305031232.225683 1.27411 0.650134 1.57446 0.678114 0.601257 -0.0303267 -0.421583
1305031232.262691 1.26971 0.650746 1.58617 0.677334 0.601578 -0.0210944 -0.422939
1305031232.293855 1.26101 0.655048 1.59603 0.678013 0.599977 -0.0115892 -0.42449
1305031232.325619 1.27283 0.65209 1.58694 0.675223 0.594825 -0.0048546 -0.436158
1305031232.364738 1.28496 0.649013 1.58587 0.672183 0.591232 0.00177398 -0.445658
1305031232.393714 1.27146 0.642897 1.59274 0.67129 0.587574 0.0185172 -0.451423
1305031232.425721 1.26709 0.642299 1.59307 0.669929 0.582288 0.0335051 -0.459361
1305031232.464703 1.26874 0.638746 1.59509 0.666211 0.578551 0.046451 -0.468278
1305031232.493650 1.27169 0.635085 1.5984 0.663308 0.574086 0.0560502 -0.476766
1305031232.525781 1.27549 0.636731 1.60509 0.659804 0.570448 0.0682273 -0.484347
1305031232.564714 1.28128 0.639822 1.60801 0.655542 0.56592 0.0815644 -0.493302
1305031232.593722 1.28536 0.641625 1.61095 -0.649265 -0.562126 -0.0932016 0.503769
1305031232.625783 1.28495 0.639145 1.60725 -0.647868 -0.553601 -0.103274 0.51296
1305031232.664695 1.27985 0.637668 1.60878 -0.645052 -0.549003 -0.116397 0.518609
1305031232.693701 1.29206 0.6433 1.61063 -0.643542 -0.545196 -0.11626 0.524499
1305031232.725876 1.29687 0.659255 1.60858 -0.646581 -0.54103 -0.108695 0.526692
1305031232.761719 1.30726 0.660512 1.60238 -0.649868 -0.536605 -0.102604 0.528392
1305031232.793672 1.30769 0.658366 1.57877 -0.655581 -0.532261 -0.0888262 0.528226
1305031232.825767 1.31394 0.656579 1.57424 -0.661192 -0.536449 -0.064815 0.520429
1305031232.861666 1.3189 0.651845 1.56504 -0.668689 -0.541066 -0.0369916 0.508659
1305031232.893683 1.31109 0.649207 1.57336 0.674142 0.552377 0.0202256 -0.489901
1305031232.925756 1.31279 0.649127 1.59134 0.678956 0.558339 0.0144745 -0.476515
1305031232.961662 1.3143 0.651592 1.5894 0.682073 0.56114 0.0124712 -0.468767
1305031232.993641 1.30639 0.650065 1.58304 0.687464 0.560954 0.00891643 -0.461133
1305031233.025746 1.30827 0.648738 1.56034 0.68893 0.564077 -0.0117465 -0.455032
1305031233.061697 1.30613 0.635503 1.54957 0.694593 0.569892 -0.0368427 -0.4375
1305031233.093701 1.29175 0.622542 1.54402 0.701334 0.596067 -0.102077 -0.377379
1305031233.125846 1.2903 0.620099 1.53251 0.701137 0.605576 -0.131213 -0.352799
1305031233.161744 1.2854 0.622788 1.53993 0.699584 0.617415 -0.157761 -0.323254
1305031233.193761 1.28408 0.646287 1.55366 0.698182 0.626099 -0.181651 -0.29588
1305031233.225763 1.28599 0.647417 1.55046 0.69518 0.630086 -0.192399 -0.287575
1305031233.261687 1.28216 0.646464 1.54769 0.691011 0.63546 -0.201862 -0.279188
1305031233.293802 1.28113 0.634495 1.54129 0.68964 0.637214 -0.213298 -0.269923
1305031233.325798 1.27519 0.632838 1.5449 0.686925 0.642301 -0.230477 -0.249928
1305031233.361800 1.27478 0.634586 1.5453 0.681804 0.647223 -0.250859 -0.230899
1305031233.393685 1.27811 0.634072 1.53916 0.677053 0.649722 -0.268882 -0.217172
1305031233.425708 1.27431 0.647899 1.53651 0.671221 0.654563 -0.283404 -0.201723
1305031233.461836 1.27819 0.665461 1.52926 0.664417 0.658712 -0.293491 -0.196244
1305031233.493692 1.27722 0.674361 1.52352 0.662058 0.661269 -0.292147 -0.197618
1305031233.525708 1.27888 0.677497 1.52491 0.663328 0.662041 -0.285229 -0.200852
1305031233.561785 1.276 0.676187 1.53521 0.666263 0.662146 -0.278002 -0.200925
1305031233.593760 1.27809 0.672421 1.53487 0.665889 0.661334 -0.278292 -0.204407
1305031233.625707 1.27822 0.671462 1.53491 0.665044 0.661592 -0.279827 -0.204226
1305031233.661700 1.27295 0.676099 1.5324 0.664984 0.660343 -0.283988 -0.202718
1305031233.693779 1.27323 0.679185 1.53254 0.663693 0.659176 -0.28681 -0.206731
1305031233.725575 1.26731 0.680607 1.52985 0.662707 0.657087 -0.289755 -0.212364
1305031233.761643 1.2729 0.687255 1.53366 0.661656 0.653747 -0.294034 -0.219932
1305031233.793747 1.26595 0.689004 1.52971 0.660335 0.651335 -0.295647 -0.228721
1305031233.825687 1.26748 0.691004 1.53651 0.660463 0.647288 -0.297332 -0.237489
1305031233.861613 1.26824 0.689512 1.54111 0.656929 0.64542 -0.300071 -0.248665
1305031233.893718 1.27301 0.690389 1.54082 0.654966 0.641523 -0.304528 -0.258323
1305031233.925841 1.26533 0.683926 1.54137 0.653998 0.638009 -0.306647 -0.266831
1305031233.961748 1.26951 0.686859 1.54674 0.647804 0.632387 -0.315871 -0.284013
1305031233.993722 1.26502 0.686703 1.5462 0.64667 0.628453 -0.320312 -0.290285
1305031234.025786 1.26536 0.686702 1.54623 0.642887 0.624682 -0.327258 -0.298951
1305031234.061675 1.26614 0.688295 1.54555 0.639143 0.622115 -0.333306 -0.305576
1305031234.093790 1.26485 0.687872 1.54727 0.636889 0.618222 -0.338566 -0.312327
1305031234.129606 1.2579 0.69141 1.55011 0.633462 0.614766 -0.345499 -0.318464
1305031234.161729 1.26236 0.690298 1.5477 0.626722 0.609435 -0.354105 -0.332292
1305031234.193710 1.261 0.691637 1.55309 0.624322 0.604282 -0.359841 -0.339969
1305031234.229746 1.25571 0.692578 1.56061 0.620083 0.597444 -0.369227 -0.349612
1305031234.261752 1.26204 0.691676 1.55864 0.611932 0.5907 -0.381695 -0.361831
1305031234.293697 1.25801 0.690206 1.56141 0.605388 0.585968 -0.390347 -0.371182
1305031234.329654 1.25804 0.694431 1.56067 0.59757 0.57844 -0.402929 -0.382055
1305031234.361612 1.2646 0.691704 1.56514 0.589714 0.573204 -0.41022 -0.394201
1305031234.393723 1.26566 0.698992 1.57317 0.577637 0.559331 -0.428155 -0.412515
1305031234.429703 1.26335 0.698483 1.57668 0.569248 0.552005 -0.436922 -0.424673
1305031234.461690 1.27508 0.694107 1.5697 0.560059 0.544972 -0.445606 -0.436778
1305031234.493831 1.26926 0.696613 1.57134 0.554176 0.541161 -0.450955 -0.443479
1305031234.529645 1.27858 0.694791 1.57029 0.548207 0.536309 -0.455593 -0.451971
1305031234.561675 1.28292 0.695548 1.56998 0.544203 0.53431 -0.458512 -0.456204
1305031234.593780 1.29367 0.689197 1.56417 0.542947 0.534741 -0.456593 -0.459112
1305031234.630013 1.29565 0.689207 1.56736 0.546459 0.536983 -0.454171 -0.45471
1305031234.661618 1.30316 0.686108 1.56451 0.549763 0.54187 -0.450245 -0.448795
1305031234.693750 1.29293 0.686499 1.56031 0.554438 0.54578 -0.446768 -0.441725
1305031234.729764 1.29702 0.687533 1.54885 0.558595 0.550358 -0.44388 -0.433647
1305031234.761815 1.28806 0.691894 1.54577 0.565424 0.55598 -0.438515 -0.422949
1305031234.793716 1.28733 0.687344 1.54789 0.571796 0.559487 -0.43239 -0.416008
1305031234.829772 1.29899 0.684938 1.54244 0.573809 0.564667 -0.427849 -0.410901
1305031234.861873 1.28985 0.689106 1.53127 0.581246 0.570804 -0.420499 -0.399396
1305031234.893760 1.28705 0.689395 1.53237 0.588639 0.574654 -0.413444 -0.390309
1305031234.929666 1.2822 0.691063 1.52633 0.593037 0.58099 -0.406538 -0.381423
1305031234.961659 1.28585 0.693158 1.52549 0.598529 0.586779 -0.397481 -0.373447
1305031234.993749 1.28525 0.696085 1.52331 0.606359 0.593416 -0.385918 -0.362289
1305031235.029701 1.27691 0.695346 1.52018 0.614211 0.59911 -0.374193 -0.351842
1305031235.061591 1.2853 0.689433 1.51761 0.619077 0.603668 -0.365162 -0.344943
1305031235.093621 1.28181 0.69474 1.50723 0.628047 0.609578 -0.355919 -0.327557
1305031235.129679 1.27989 0.69511 1.51435 0.636344 0.615132 -0.343926 -0.313678
1305031235.161491 1.28132 0.693984 1.50725 0.642908 0.619342 -0.335438 -0.300943
1305031235.193605 1.2826 0.694662 1.50136 0.649677 0.623617 -0.32647 -0.287124
1305031235.229635 1.27821 0.698646 1.49512 0.656784 0.626874 -0.318265 -0.27271
1305031235.261629 1.28221 0.698762 1.48802 0.663453 0.630468 -0.308425 -0.259259
1305031235.293677 1.28134 0.698062 1.48892 0.670136 0.635119 -0.295686 -0.245178
1305031235.329649 1.28342 0.694499 1.48023 0.676339 0.637958 -0.285297 -0.232767
1305031235.361653 1.28146 0.696975 1.48049 0.68259 0.642306 -0.273644 -0.215946
1305031235.393686 1.28484 0.695906 1.47356 0.688109 0.644771 -0.264659 -0.201821
1305031235.429666 1.28957 0.698509 1.46183 0.691699 0.648339 -0.256909 -0.187634
1305031235.461669 1.28848 0.693813 1.46379 0.698046 0.65148 -0.240919 -0.173963
1305031235.493665 1.28317 0.699787 1.46226 0.702934 0.654907 -0.229298 -0.156217
1305031235.529738 1.29063 0.69924 1.45313 0.705566 0.657093 -0.220526 -0.147555
1305031235.561675 1.29204 0.699174 1.45073 0.709657 0.658874 -0.209439 -0.135671
1305031235.593726 1.28347 0.700374 1.45551 0.714173 0.661335 -0.195171 -0.120422
1305031235.629798 1.28394 0.697423 1.45176 0.717972 0.66222 -0.184758 -0.108838
1305031235.661669 1.28019 0.698582 1.45106 0.720196 0.66438 -0.174447 -0.097387
1305031235.693698 1.28804 0.695371 1.44594 0.722147 0.664413 -0.168634 -0.0928553
1305031235.729661 1.30163 0.691088 1.41585 0.72244 0.665866 -0.162434 -0.0912009
1305031235.761818 1.30478 0.690935 1.41252 0.722953 0.66672 -0.158164 -0.0883551
1305031235.793628 1.30482 0.691818 1.41056 0.724056 0.666864 -0.154503 -0.0846407
1305031235.829663 1.30691 0.690969 1.40827 0.726417 0.665879 -0.149318 -0.0814101
1305031235.861603 1.31226 0.689707 1.40254 0.726531 0.665593 -0.148522 -0.0841389
1305031235.893698 1.31162 0.689683 1.40146 0.725006 0.666528 -0.149349 -0.0883247
1305031235.929664 1.31146 0.687991 1.39909 0.72483 0.665319 -0.151844 -0.0944215
1305031235.961704 1.31302 0.689033 1.39724 0.723798 0.663364 -0.159774 -0.10265
1305031235.993673 1.31174 0.690187 1.3984 0.722469 0.661806 -0.167846 -0.108993
1305031236.029652 1.31358 0.688305 1.40161 0.720907 0.659727 -0.176356 -0.118114
1305031236.061630 1.31658 0.684522 1.40227 0.720196 0.655725 -0.185631 -0.129935
1305031236.093688 1.31068 0.68536 1.40899 0.71777 0.654174 -0.193377 -0.139525
1305031236.129660 1.31438 0.68427 1.41173 0.715165 0.651935 -0.202109 -0.150571
1305031236.161670 1.3117 0.685221 1.41848 0.71133 0.650385 -0.2119 -0.161575
1305031236.193597 1.30661 0.684661 1.42362 0.707369 0.650439 -0.217906 -0.170514
1305031236.229721 1.30596 0.683486 1.4281 0.70304 0.648438 -0.227424 -0.183143
1305031236.261669 1.29161 0.688121 1.44166 0.699532 0.649015 -0.232931 -0.187557
1305031236.293648 1.2719 0.696662 1.46414 0.698923 0.650339 -0.234665 -0.183025
1305031236.329663 1.25017 0.705089 1.48793 0.698414 0.651061 -0.237127 -0.179191
1305031236.361588 1.24939 0.703411 1.49904 0.694145 0.649409 -0.246035 -0.189468
1305031236.393685 1.24915 0.704089 1.50478 0.691131 0.645862 -0.256458 -0.19857
1305031236.429662 1.25146 0.69659 1.51222 0.684789 0.644058 -0.265511 -0.21391
1305031236.461654 1.25262 0.699 1.51615 0.678103 0.641896 -0.277543 -0.226089
1305031236.493658 1.254 0.696023 1.52668 0.673557 0.639093 -0.284998 -0.238027
1305031236.529695 1.25519 0.691785 1.53279 0.666626 0.636546 -0.294626 -0.25222
1305031236.561678 1.2559 0.690794 1.54022 0.660676 0.633118 -0.305393 -0.263446
1305031236.593682 1.26008 0.688872 1.54576 0.654821 0.629025 -0.316531 -0.274491
1305031236.629642 1.26064 0.689088 1.55496 0.64921 0.624489 -0.328258 -0.284229
1305031236.661655 1.2654 0.688162 1.55965 0.640964 0.620584 -0.340143 -0.297228
1305031236.693667 1.26721 0.688706 1.56969 0.634382 0.616987 -0.34913 -0.308212
1305031236.729693 1.26811 0.689311 1.57544 0.627511 0.612302 -0.358899 -0.320167
1305031236.761749 1.26918 0.688341 1.5796 0.618086 0.607092 -0.369343 -0.336147
1305031236.793675 1.27547 0.686319 1.58136 0.612436 0.599743 -0.378714 -0.349007
1305031236.829705 1.27259 0.688669 1.59102 0.607442 0.59418 -0.387403 -0.357607
1305031236.861617 1.27979 0.684152 1.59039 0.600543 0.586717 -0.397036 -0.370774
1305031236.893505 1.28339 0.686619 1.5946 0.59435 0.582046 -0.404218 -0.380234
