# timestamp tx ty tz qx qy qz qw
1305031102.175304 1.36508 0.622413 1.65387 0.655477 0.612251 -0.296708 -0.327817
1305031102.211214 1.34219 0.629678 1.64044 0.657926 0.617894 -0.294547 -0.313979
1305031102.275326 1.32986 0.634253 1.63427 0.659265 0.619815 -0.293821 -0.308007
1305031102.311267 1.32008 0.634996 1.6272 0.660692 0.619833 -0.294195 -0.304535
1305031102.343233 1.30959 0.636751 1.61937 0.661257 0.620837 -0.294503 -0.300945
1305031102.375329 1.30223 0.635122 1.60865 0.660098 0.622736 -0.295047 -0.299028
1305031102.411258 1.2967 0.636596 1.59447 0.660128 0.624915 -0.295584 -0.293842
1305031102.443271 1.28344 0.639705 1.59143 0.66265 0.628075 -0.291348 -0.28554
1305031102.475318 1.27593 0.640847 1.58181 0.663086 0.629953 -0.287757 -0.28403
1305031102.511219 1.25102 0.643292 1.56915 0.66403 0.633446 -0.280282 -0.281519
1305031102.575286 1.23881 0.641745 1.56273 0.664888 0.631405 -0.279647 -0.284691
1305031102.611233 1.22767 0.637129 1.54066 0.665584 0.629248 -0.281186 -0.286319
1305031102.675285 1.21665 0.634668 1.53433 0.666814 0.628882 -0.279776 -0.285643
1305031102.711263 1.21095 0.637638 1.52087 0.667429 0.628187 -0.281324 -0.284213
1305031102.743234 1.20072 0.642715 1.51105 0.667864 0.628985 -0.279383 -0.28334
1305031102.775472 1.19424 0.640114 1.50068 0.668215 0.628818 -0.275942 -0.28624
1305031102.811232 1.18233 0.642428 1.49297 0.669849 0.628958 -0.271767 -0.286106
1305031102.843290 1.17409 0.639178 1.48315 0.668702 0.629521 -0.268868 -0.29026
1305031102.875363 1.1673 0.636614 1.47133 0.66821 0.629105 -0.26796 -0.293122
1305031102.911185 1.15356 0.625109 1.45424 0.666017 0.63158 -0.269021 -0.291815
1305031102.975203 1.14496 0.625145 1.44602 0.666203 0.632554 -0.272515 -0.28598
1305031103.011215 1.13917 0.62527 1.43452 0.666115 0.632748 -0.277189 -0.281225
1305031103.043227 1.13038 0.630969 1.42826 0.66657 0.632592 -0.280468 -0.277218
1305031103.075319 1.12992 0.629161 1.41543 0.666552 0.630507 -0.28238 -0.280055
1305031103.111240 1.12113 0.631078 1.40836 0.668031 0.630527 -0.281632 -0.277224
1305031103.143318 1.12068 0.631745 1.40053 0.668647 0.629523 -0.281326 -0.278329
1305031103.175452 1.115 0.627763 1.38043 0.673882 0.628837 -0.276002 -0.272524
1305031103.243216 1.11142 0.622214 1.37554 0.67848 0.628945 -0.271962 -0.264822
1305031103.275370 1.10394 0.622394 1.37422 0.677464 0.633712 -0.273616 -0.254138
1305031103.311210 1.10175 0.62788 1.37076 0.675239 0.636179 -0.276727 -0.250502
1305031103.343223 1.10002 0.630502 1.37108 0.678182 0.635262 -0.274643 -0.24715
1305031103.375327 1.09866 0.629128 1.37472 0.679937 0.634629 -0.272819 -0.245969
1305031103.411260 1.09831 0.628488 1.37894 0.679361 0.635775 -0.273829 -0.243467
1305031103.443280 1.10025 0.628465 1.38533 0.677095 0.63797 -0.274862 -0.242873
1305031103.475274 1.10211 0.628625 1.39321 0.675162 0.639203 -0.276225 -0.243466
1305031103.511333 1.10418 0.627877 1.40151 0.672657 0.639932 -0.27858 -0.245791
1305031103.543444 1.11129 0.630527 1.40999 0.670685 0.639379 -0.283799 -0.246646
1305031103.575474 1.11518 0.62971 1.42038 0.670161 0.639038 -0.287108 -0.245119
1305031103.611223 1.12212 0.629174 1.42957 0.668703 0.638546 -0.292049 -0.244545
1305031103.643445 1.12886 0.632097 1.4415 0.667241 0.638834 -0.295443 -0.243708
1305031103.675523 1.13561 0.633186 1.45256 0.666159 0.638827 -0.297362 -0.244353
1305031103.711610 1.14212 0.635049 1.46381 0.664899 0.638772 -0.298909 -0.246035
1305031103.743326 1.15229 0.635691 1.47444 0.661673 0.640264 -0.300065 -0.249421
1305031103.775342 1.16355 0.636524 1.4863 0.660405 0.641894 -0.298279 -0.250733
1305031103.811242 1.1767 0.631557 1.49643 0.659542 0.644075 -0.294679 -0.251666
1305031103.843251 1.17796 0.631098 1.51219 0.659347 0.6488 -0.29056 -0.244734
1305031103.875361 1.18349 0.630911 1.52564 0.656914 0.651078 -0.29251 -0.242898
1305031103.911221 1.19448 0.632451 1.53917 0.654975 0.651816 -0.295484 -0.242554
1305031103.943211 1.20208 0.635589 1.55216 0.652828 0.653062 -0.297814 -0.242141
1305031103.975373 1.20794 0.641704 1.56429 0.65117 0.652764 -0.301176 -0.243247
1305031104.011232 1.21895 0.645724 1.57428 0.648545 0.651233 -0.30429 -0.250383
1305031104.043249 1.23125 0.647521 1.58455 0.64696 0.650779 -0.303273 -0.256818
1305031104.075425 1.23526 0.650928 1.59596 0.647133 0.649732 -0.301169 -0.261466
1305031104.111235 1.24599 0.649007 1.61003 0.647461 0.647106 -0.299545 -0.268927
1305031104.143230 1.25813 0.645039 1.62126 0.645942 0.645918 -0.29906 -0.275885
1305031104.175424 1.26677 0.644624 1.63039 0.645357 0.643855 -0.300383 -0.280598
1305031104.211283 1.27694 0.644061 1.64023 0.644568 0.641705 -0.301861 -0.285704
1305031104.243196 1.28742 0.643396 1.64874 0.643238 0.6401 -0.302844 -0.291208
1305031104.275546 1.29568 0.644674 1.65698 0.643062 0.638222 -0.303306 -0.29521
1305031104.311219 1.30606 0.644012 1.66395 0.642723 0.636238 -0.302585 -0.300917
1305031104.343342 1.3163 0.64424 1.67459 0.644004 0.634094 -0.300523 -0.304744
1305031104.375837 1.3262 0.637896 1.68046 0.64483 0.631834 -0.298349 -0.309786
1305031104.411509 1.33472 0.630249 1.68773 0.645918 0.630368 -0.29666 -0.312119
1305031104.443288 1.34254 0.625727 1.69241 0.645667 0.630262 -0.297519 -0.312035
1305031104.475456 1.34646 0.624476 1.70244 0.645916 0.630181 -0.299383 -0.309894
1305031104.511329 1.3524 0.627355 1.71242 0.645024 0.629597 -0.303044 -0.309381
1305031104.543368 1.35549 0.633564 1.72119 0.644228 0.628241 -0.306261 -0.310625
1305031104.575343 1.35386 0.649191 1.73781 0.644442 0.624462 -0.310406 -0.31367
1305031104.611336 1.36807 0.650626 1.74243 0.642346 0.618 -0.313949 -0.326961
1305031104.643243 1.37494 0.650123 1.74965 0.641428 0.611339 -0.31571 -0.339355
1305031104.675525 1.38197 0.645282 1.76544 0.64058 0.604088 -0.317223 -0.352284
1305031104.711277 1.39188 0.651823 1.76318 0.638807 0.595432 -0.324078 -0.363813
1305031104.743280 1.40577 0.647338 1.76662 0.637185 0.587206 -0.327157 -0.377031
1305031104.775327 1.41088 0.653074 1.77013 0.63648 0.580368 -0.330595 -0.385711
1305031104.811465 1.42189 0.648513 1.76907 0.636288 0.572695 -0.331925 -0.396212
1305031104.843258 1.42955 0.641665 1.76603 0.636101 0.567781 -0.333439 -0.402268
1305031104.875350 1.43366 0.645355 1.76606 0.637023 0.565171 -0.335298 -0.402937
1305031104.911534 1.43211 0.641426 1.75849 0.636768 0.563855 -0.33542 -0.405077
1305031104.943262 1.43469 0.64088 1.75311 0.636877 0.563899 -0.33607 -0.404305
1305031104.975202 1.43045 0.643295 1.74598 0.638914 0.565259 -0.334509 -0.400469
1305031105.011290 1.42619 0.644471 1.73724 0.639958 0.568271 -0.331656 -0.396895
1305031105.043373 1.41832 0.642284 1.73134 0.641321 0.572041 -0.326912 -0.393198
1305031105.075320 1.40815 0.638608 1.72787 0.642977 0.575222 -0.322409 -0.389555
1305031105.111299 1.4049 0.635154 1.71272 0.642603 0.579121 -0.320425 -0.386015
1305031105.143106 1.3996 0.625761 1.69625 0.643682 0.585389 -0.313451 -0.38045
1305031105.175159 1.38019 0.623536 1.69614 0.646899 0.5929 -0.306175 -0.369119
1305031105.211268 1.37244 0.620231 1.68333 0.646711 0.598262 -0.304671 -0.361971
1305031105.243270 1.36224 0.617914 1.67323 0.647475 0.604532 -0.302121 -0.352194
1305031105.275288 1.34868 0.617755 1.66728 0.648819 0.610788 -0.300292 -0.340289
1305031105.311290 1.33104 0.617385 1.66057 0.649721 0.61624 -0.298484 -0.330178
1305031105.343302 1.31945 0.618059 1.65345 0.649724 0.618993 -0.299467 -0.324078
1305031105.375338 1.31213 0.620005 1.63904 0.649162 0.62229 -0.300454 -0.317917
1305031105.411286 1.29604 0.622764 1.63213 0.650198 0.626335 -0.298772 -0.309326
1305031105.443316 1.28434 0.623736 1.62413 0.65023 0.628813 -0.298678 -0.304281
1305031105.475280 1.27369 0.628443 1.61347 0.651202 0.630782 -0.298708 -0.298033
1305031105.511332 1.25992 0.629275 1.60797 0.653623 0.631786 -0.295949 -0.293323
1305031105.543282 1.24988 0.627078 1.59619 0.653899 0.632679 -0.29503 -0.291702
1305031105.575449 1.23554 0.630201 1.58861 0.655111 0.633656 -0.293938 -0.287941
1305031105.611378 1.22365 0.630453 1.57725 0.657152 0.632016 -0.294928 -0.285875
1305031105.643273 1.19977 0.63881 1.56073 0.658378 0.632233 -0.293645 -0.283889
1305031105.711309 1.19365 0.637236 1.54595 0.658592 0.630072 -0.292637 -0.289186
1305031105.743312 1.18021 0.641058 1.53982 0.66095 0.629166 -0.288519 -0.289918
1305031105.775339 1.16934 0.642461 1.52839 0.662659 0.626478 -0.286628 -0.293686
1305031105.811283 1.16072 0.647522 1.51596 0.66328 0.624455 -0.286931 -0.296287
1305031105.843271 1.15454 0.647822 1.50402 0.66584 0.621064 -0.284604 -0.299893
1305031105.875337 1.14518 0.647371 1.49287 0.670361 0.617918 -0.280943 -0.299775
1305031105.911262 1.14002 0.646642 1.47869 0.673518 0.615073 -0.278781 -0.300566
1305031105.943272 1.13277 0.64588 1.46872 0.676515 0.614462 -0.274627 -0.298904
1305031105.975329 1.12425 0.649469 1.45871 0.680348 0.613327 -0.271701 -0.295188
1305031106.011285 1.11852 0.645582 1.44733 0.682451 0.612883 -0.266978 -0.295564
1305031106.043355 1.11132 0.645963 1.43706 0.684503 0.612933 -0.264687 -0.29276
1305031106.075330 1.10804 0.643613 1.42402 0.686333 0.612666 -0.262396 -0.291093
1305031106.111327 1.10026 0.640194 1.41573 0.689245 0.613478 -0.258573 -0.285876
1305031106.143355 1.09243 0.639344 1.40774 0.690901 0.614276 -0.257102 -0.281459
1305031106.175534 1.08459 0.642487 1.40263 0.692034 0.615377 -0.257169 -0.27616
1305031106.211275 1.08051 0.643923 1.3855 0.69288 0.613321 -0.263675 -0.272451
1305031106.243267 1.07892 0.642677 1.3777 0.69506 0.612128 -0.263632 -0.269608
1305031106.276385 1.08069 0.64024 1.36913 0.69592 0.612871 -0.261975 -0.267309
1305031106.311238 1.07833 0.646038 1.36699 0.693396 0.621184 -0.255137 -0.261224
1305031106.343258 1.07221 0.648633 1.37044 0.694175 0.624991 -0.245308 -0.259483
1305031106.375388 1.07063 0.642394 1.37471 0.693259 0.626929 -0.238405 -0.263656
1305031106.411320 1.0719 0.638882 1.37883 0.692571 0.627672 -0.23766 -0.264368
1305031106.443278 1.07314 0.636508 1.38515 0.691128 0.628542 -0.240224 -0.263759
1305031106.475345 1.07801 0.63877 1.39341 0.688463 0.630128 -0.245194 -0.262368
1305031106.511129 1.08506 0.638555 1.40258 0.6865 0.630756 -0.248016 -0.26335
1305031106.543302 1.094 0.635263 1.40875 0.683555 0.633013 -0.249474 -0.264216
1305031106.575282 1.09658 0.633428 1.42085 0.681854 0.635775 -0.248704 -0.262701
1305031106.611151 1.10794 0.629382 1.42825 0.679884 0.635714 -0.252625 -0.26421
1305031106.643207 1.11474 0.625308 1.43997 0.678666 0.638237 -0.253576 -0.260318
1305031106.675279 1.12433 0.625118 1.4509 0.676397 0.639571 -0.259674 -0.256915
1305031106.711508 1.13272 0.626514 1.46414 0.674279 0.641833 -0.263717 -0.252686
1305031106.743341 1.14661 0.626365 1.47374 0.672224 0.643218 -0.267096 -0.251087
1305031106.775390 1.15067 0.626618 1.4903 0.670731 0.646151 -0.267771 -0.246794
1305031106.811289 1.15958 0.63025 1.50326 0.665982 0.648205 -0.272485 -0.249098
1305031106.843416 1.17612 0.628963 1.51399 0.662283 0.649392 -0.273672 -0.254508
